"","Year","Month1","Dead","F","MR","PD","S","SR","UK"
"1",1990,"J",2,1,0,0,0,34,4
"2",1990,"M",0,0,0,0,0,37,1
"3",1991,"J",1,2,1,5,0,21,0
"4",1991,"M",13,0,1,4,1,20,1
"5",1992,"J",2,8,2,6,0,25,0
"6",1992,"M",2,0,1,7,0,29,1
"7",1993,"J",2,18,4,2,1,56,1
"8",1993,"M",2,0,5,2,9,49,0
"9",1994,"J",5,18,6,19,0,73,6
"10",1994,"M",11,0,10,8,4,88,4
"11",1995,"J",1,5,5,23,0,119,3
"12",1995,"M",11,0,9,35,7,85,3
"13",1996,"J",5,9,6,30,4,129,8
"14",1996,"M",7,0,14,17,1,138,1
"15",1997,"J",18,10,4,33,0,148,2
"16",1997,"M",15,0,9,23,1,168,3
"17",1998,"J",16,9,15,26,0,173,6
"18",1998,"M",9,0,25,26,7,173,8
"19",1999,"J",10,10,15,8,0,172,31
"20",1999,"M",35,0,10,24,1,151,31
"21",2000,"J",15,6,0,0,0,0,1
"22",2000,"M",57,0,11,8,0,178,3
"23",2001,"J",2,5,1,0,0,0,4
"24",2001,"M",95,0,6,33,7,51,0
"25",2002,"J",6,0,16,3,0,72,3
"26",2002,"M",0,0,0,111,0,0,0
"27",2003,"J",8,8,4,22,2,71,0
"28",2005,"J",11,6,7,7,1,148,0
"29",2006,"J",25,11,3,16,0,130,2
"30",2007,"J",12,21,9,8,0,98,25
"31",2008,"J",0,3,11,1,0,103,19
"32",2009,"J",0,10,12,0,0,90,24
