"","Year","Month","SPEI_1","ppt","tmean"
"1","1989","Jan",0.38722,3.87,-1.2
"2","1989","Feb",0.76542,13.14,-7.8
"3","1989","Mar",-0.20913,15.05,1.4
"4","1989","Apr",-2.02079,2.18,9.7
"5","1989","May",-1.25319,35.95,14.8
"6","1989","Jun",-0.23146,34.07,18.2
"7","1989","Jul",-1.25461,28.02,23.9
"8","1989","Aug",0.74389,46.27,22
"9","1989","Sep",0.56399,69.4,15.7
"10","1989","Oct",-1.48445,0.36,10
"11","1989","Nov",-1.3852,0,3.6
"12","1989","Dec",0.31996,6.8,-5.9
"13","1990","Jan",0.52497,10.89,-0.4
"14","1990","Feb",-0.93246,2.62,-1.4
"15","1990","Mar",1.31727,66,2.9
"16","1990","Apr",-0.13792,36.08,8.7
"17","1990","May",0.66393,112.67,12.9
"18","1990","Jun",-1.18107,32.23,21.2
"19","1990","Jul",0.06802,49.46,22.2
"20","1990","Aug",-0.5621,40.07,22.4
"21","1990","Sep",-0.99621,28.17,19
"22","1990","Oct",-0.12004,18.21,9.7
"23","1990","Nov",0.93912,31.71,3.6
"24","1990","Dec",-0.81985,2.58,-6.9
"25","1991","Jan",-1.12819,1.79,-5.7
"26","1991","Feb",-1.27168,8.07,2.6
"27","1991","Mar",0.09719,26.65,3.7
"28","1991","Apr",-1.02255,15.06,8.6
"29","1991","May",0.97455,103.6,15.3
"30","1991","Jun",0.07084,71.26,20.9
"31","1991","Jul",-0.83131,60.72,22.9
"32","1991","Aug",-0.56027,32.64,22.5
"33","1991","Sep",0.34019,36.64,17
"34","1991","Oct",0.51273,30.03,9
"35","1991","Nov",1.26847,26.22,-0.3
"36","1991","Dec",-0.88152,0.62,-0.5
"37","1992","Jan",1.32855,18.79,-1.5
"38","1992","Feb",0.17169,19.15,2.6
"39","1992","Mar",1.46178,72.66,5
"40","1992","Apr",-2.05574,1.18,9.3
"41","1992","May",-1.65209,23.01,15.3
"42","1992","Jun",1.23092,112.77,18
"43","1992","Jul",1.12584,98.21,19.8
"44","1992","Aug",1.627,68.18,19.3
"45","1992","Sep",-1.0056,24.4,17
"46","1992","Oct",-0.02865,24.84,9.6
"47","1992","Nov",0.08044,6.52,0.1
"48","1992","Dec",-0.5597,3.5,-6
"49","1993","Jan",0.98817,15.38,-7.4
"50","1993","Feb",1.78768,30.91,-7.2
"51","1993","Mar",0.74892,42.84,2.2
"52","1993","Apr",0.54605,51.83,6.9
"53","1993","May",-0.44657,65.24,14.3
"54","1993","Jun",0.74807,107.21,17.5
"55","1993","Jul",1.53452,139.07,20.8
"56","1993","Aug",1.72271,83.46,20.9
"57","1993","Sep",0.52111,38.45,13.7
"58","1993","Oct",1.20086,46.82,8.6
"59","1993","Nov",1.18204,25.89,-0.5
"60","1993","Dec",-0.02291,6.14,-1.1
"61","1994","Jan",1.60303,20.18,-4.5
"62","1994","Feb",0.0453,7.71,-5.5
"63","1994","Mar",-1.67033,6.04,4.8
"64","1994","Apr",-0.8147,27.62,8.7
"65","1994","May",-1.80252,25.3,16.3
"66","1994","Jun",-0.38974,65.18,21.2
"67","1994","Jul",1.86811,144.3,21.6
"68","1994","Aug",-1.17515,12.01,22.7
"69","1994","Sep",-0.93227,20.03,17.7
"70","1994","Oct",1.70876,97.2,10.3
"71","1994","Nov",0.19904,11.12,2.2
"72","1994","Dec",1.28643,18.53,-0.4
"73","1995","Jan",-1.17311,1.87,-3.6
"74","1995","Feb",-0.80714,3.75,1.2
"75","1995","Mar",0.35308,24.25,2.8
"76","1995","Apr",1.37781,70.45,5.5
"77","1995","May",1.7727,124.62,10.6
"78","1995","Jun",0.8392,82.66,18.2
"79","1995","Jul",0.34094,94.57,22.6
"80","1995","Aug",-2.02266,10.07,24.1
"81","1995","Sep",0.70729,59.38,16.3
"82","1995","Oct",0.52725,21.32,8.9
"83","1995","Nov",-1.15604,2.72,3.3
"84","1995","Dec",-1.33941,0,-2
"85","1996","Jan",0.36633,11.15,-6.1
"86","1996","Feb",-1.20032,0,-1.1
"87","1996","Mar",-0.35466,11.85,-0.5
"88","1996","Apr",-0.84495,23.15,8.5
"89","1996","May",0.88602,101.56,13.2
"90","1996","Jun",-0.70876,46.56,20.2
"91","1996","Jul",0.43175,98,22.6
"92","1996","Aug",1.50716,81.62,21.5
"93","1996","Sep",1.68696,92.9,15.5
"94","1996","Oct",-0.21824,21.12,9.7
"95","1996","Nov",0.36013,8.84,-0.7
"96","1996","Dec",-0.92412,1.75,-3.6
"97","1997","Jan",-1.44202,0.06,-5.3
"98","1997","Feb",0.32053,8.28,-0.9
"99","1997","Mar",-1.76631,0.8,4.2
"100","1997","Apr",-0.07138,20.71,5
"101","1997","May",-0.63522,42.18,12.6
"102","1997","Jun",-0.0298,71.84,20.2
"103","1997","Jul",-0.37787,65.6,23
"104","1997","Aug",0.53406,46.44,21.9
"105","1997","Sep",0.60842,55.29,18.2
"106","1997","Oct",1.43307,56.61,10
"107","1997","Nov",-0.63168,0,1.3
"108","1997","Dec",0.56091,10.1,-1.7
"109","1998","Jan",0.11029,5.34,-2.4
"110","1998","Feb",-0.45121,5.57,1.8
"111","1998","Mar",0.24186,18.31,0.7
"112","1998","Apr",-0.74613,20.07,7.6
"113","1998","May",0.45115,107.13,15.5
"114","1998","Jun",1.17052,94.19,17.1
"115","1998","Jul",0.25969,74.11,23.9
"116","1998","Aug",-0.25376,39.28,22.6
"117","1998","Sep",-1.45222,15.61,20.2
"118","1998","Oct",1.46746,64.66,9.5
"119","1998","Nov",1.74899,44.91,4.2
"120","1998","Dec",-0.90651,1.55,-2.2
"121","1999","Jan",-0.9113,1.26,-1.7
"122","1999","Feb",-0.95894,5.05,3.1
"123","1999","Mar",-0.92467,11.98,4.1
"124","1999","Apr",1.71566,108.87,7.3
"125","1999","May",-0.47305,49.41,13.8
"126","1999","Jun",0.5425,73.39,19.3
"127","1999","Jul",-0.72418,51.73,24
"128","1999","Aug",1.53535,83.67,21.9
"129","1999","Sep",0.69412,44.42,14.7
"130","1999","Oct",-1.64798,0,9.6
"131","1999","Nov",-1.71978,5.13,6.6
"132","1999","Dec",-1.36388,0.47,0.7
"133","2000","Jan",0.11721,7.3,-1.7
"134","2000","Feb",-0.21955,9.41,1.3
"135","2000","Mar",0.55258,42.11,4.7
"136","2000","Apr",-0.60835,39.25,8.7
"137","2000","May",-0.7302,49.28,15.7
"138","2000","Jun",-1.05686,31.43,19
"139","2000","Jul",-1.01965,32.8,24.4
"140","2000","Aug",-2.00622,14.51,24.6
"141","2000","Sep",0.09811,45.11,17.2
"142","2000","Oct",1.69983,77.07,10.2
"143","2000","Nov",0.81695,10.09,-2.8
"144","2000","Dec",-1.01616,0.98,-5.8
"145","2001","Jan",0.78517,10.41,-1.9
"146","2001","Feb",0.3309,7.41,-4.4
"147","2001","Mar",-0.90908,5.19,2.8
"148","2001","Apr",1.35517,83.93,9.2
"149","2001","May",-0.75316,55.88,14.2
"150","2001","Jun",-1.21742,33.44,19.8
"151","2001","Jul",0.81083,109.46,25
"152","2001","Aug",-0.78465,40.64,23
"153","2001","Sep",1.12829,105.21,17.7
"154","2001","Oct",-0.42323,16.01,10.7
"155","2001","Nov",0.7319,23.35,4.5
"156","2001","Dec",-1.59715,0,-1.7
"157","2002","Jan",0.00153,0.57,-1.6
"158","2002","Feb",-1.05582,0.36,-0.1
"159","2002","Mar",0.03611,11.45,-1.3
"160","2002","Apr",-0.85336,29.8,9.3
"161","2002","May",-1.21465,26.01,12.7
"162","2002","Jun",-1.68445,53.74,22.5
"163","2002","Jul",-0.78775,52.58,24.9
"164","2002","Aug",0.48488,97.73,22.3
"165","2002","Sep",-0.41282,32.12,17.1
"166","2002","Oct",1.29726,33.52,6.3
"167","2002","Nov",-1.20444,1.14,2.6
"168","2002","Dec",-0.93422,0.72,-0.3
"169","2003","Jan",-0.15906,5.13,-1.4
"170","2003","Feb",0.30592,12.09,-3.7
"171","2003","Mar",0.03152,30.25,3.4
"172","2003","Apr",0.39876,59.6,9.6
"173","2003","May",-0.32632,74.51,13.9
"174","2003","Jun",0.49315,111.79,18.1
"175","2003","Jul",-1.10572,81.76,24.6
"176","2003","Aug",-1.79534,54.68,23.7
"177","2003","Sep",-0.16704,30.77,16
"178","2003","Oct",-2.00357,11.29,12
"179","2003","Nov",-0.14463,5.6,1.1
"180","2003","Dec",-0.62327,4.63,-1.3
"181","2004","Jan",-0.68549,4.07,-2.9
"182","2004","Feb",0.72519,11.28,-1.7
"183","2004","Mar",-0.91852,53.02,5.5
"184","2004","Apr",0.55747,69.75,9.3
"185","2004","May",-1.09469,49.99,15.2
"186","2004","Jun",0.3031,96.9,17.5
"187","2004","Jul",1.28472,161.61,21.9
"188","2004","Aug",0.20248,46.02,19.6
"189","2004","Sep",0.87372,85.38,18
"190","2004","Oct",0.47461,50.56,10.6
"191","2004","Nov",0.69045,21.64,2.6
"192","2004","Dec",-1.22179,0.94,-0.8
"193","2005","Jan",0.59141,10.95,-3.8
"194","2005","Feb",-0.74737,6.15,1.3
"195","2005","Mar",0.00743,17.03,3.6
"196","2005","Apr",0.56392,56.68,8.1
"197","2005","May",-0.4299,61.69,13.3
"198","2005","Jun",1.3134,221.89,19.9
"199","2005","Jul",-1.3147,82.37,24
"200","2005","Aug",0.6205,71.35,21.9
"201","2005","Sep",-1.76739,18.48,18.5
"202","2005","Oct",0.53701,54.19,9.9
"203","2005","Nov",-0.94047,9.9,5.2
"204","2005","Dec",-0.06504,3.43,-2.9
"205","2006","Jan",-1.15355,13.13,2.7
"206","2006","Feb",-0.187,7.73,-2.7
"207","2006","Mar",0.41484,28.4,2.3
"208","2006","Apr",-0.96505,29.5,10.9
"209","2006","May",-1.82309,21.4,15.4
"210","2006","Jun",-0.21811,108.98,21.9
"211","2006","Jul",-1.3125,28.57,25.1
"212","2006","Aug",0.36389,94.19,22.4
"213","2006","Sep",1.12236,61.24,14
"214","2006","Oct",0.07024,21.23,8.2
"215","2006","Nov",-1.2339,0.71,3.1
"216","2006","Dec",2.20567,36.12,-1.9
"217","2007","Jan",0.86515,12.88,-6.7
"218","2007","Feb",1.00869,12.34,-4.2
"219","2007","Mar",0.62248,57.73,7.6
"220","2007","Apr",1.64582,96.69,7.2
"221","2007","May",0.47723,159.23,15.8
"222","2007","Jun",0.8979,116.22,19.6
"223","2007","Jul",-0.09754,97.44,24
"224","2007","Aug",0.34166,61.44,23.8
"225","2007","Sep",-0.65532,36.37,18.3
"226","2007","Oct",-0.03388,33.94,11.2
"227","2007","Nov",-1.54224,1.15,4
"228","2007","Dec",1.5207,24.97,-6.2
"229","2008","Jan",-1.4459,0,-5.6
"230","2008","Feb",-0.89091,1,-1.9
"231","2008","Mar",-0.64638,19.65,2.8
"232","2008","Apr",1.22311,74.14,6.6
"233","2008","May",0.95463,127.21,12.9
"234","2008","Jun",-0.06826,69.53,18.5
"235","2008","Jul",-0.4055,111.08,23.8
"236","2008","Aug",-0.6137,33.43,21.6
"237","2008","Sep",0.85583,84.12,15.9
"238","2008","Oct",1.64203,74.09,9.2
"239","2008","Nov",-0.56999,14.16,4.1
"240","2008","Dec",-0.18854,6.08,-5.7
"241","2009","Jan",1.28255,23.21,-2.8
"242","2009","Feb",1.35582,22.24,0.3
"243","2009","Mar",-0.52241,15.26,2.4
"244","2009","Apr",1.51303,96.02,7
"245","2009","May",-0.30539,105.52,13.9
"246","2009","Jun",1.63971,220.34,18.3
"247","2009","Jul",0.78089,89.36,21.1
"248","2009","Aug",0.80742,81.63,20.5
"249","2009","Sep",0.46681,59.7,16
"250","2009","Oct",1.98141,54.01,4.4
"251","2009","Nov",-1.62629,2.93,4.8
"252","2009","Dec",0.89903,12.94,-7.7
"253","2010","Jan",-0.08808,5.61,-3.5
"254","2010","Feb",1.10696,22.72,-4.5
"255","2010","Mar",0.55422,35.01,3.4
"256","2010","Apr",1.07008,102.8,9.5
"257","2010","May",-0.26466,60.95,12.2
"258","2010","Jun",1.23024,120.67,20
"259","2010","Jul",0.95189,120.35,23.1
"260","2010","Aug",-0.07094,70.29,23
"261","2010","Sep",-0.46208,24.71,16.7
"262","2010","Oct",-0.43289,27.7,11.2
"263","2010","Nov",0.09016,14.33,2.1
"264","2010","Dec",-0.01567,4.8,-2
